Model,Actual Label,Predicted Label,Number of times
EfficientNetV2L,S,6,123
EfficientNetV2L,H,G,38
EfficientNetV2L,U,B,64
EfficientNetV2L,4,9,27
EfficientNetV2L,4,6,45
EfficientNetV2L,P,G,36
EfficientNetV2L,L,V,39
VGG16,R,U,24
VGG16,U,F,35
VGG16,S,M,26
VGG19,U,F,33
EFFICIENTNETB0,U,F,27
EFFICIENTNETB0,T,N,58
MOBILENETV2,R,U,143
MOBILENETV2,M,O,164
MOBILENETV2,O,N,123
MOBILENETV2,V,6,214
MOBILENETV2,3,2,112
MOBILENETV2,4,2,110
MOBILENETV2,9,2,102
MOBILENETV2,6,2,211
DENSENET201,7,8,284
DENSENET201,6,8,163
DENSENET201,6,4,118
DENSENET201,S,4,33
DENSENET201,U,F,72
DENSENET201,S,M,30
DENSENET201,G,Z,43
DENSENET201,G,J,22
DENSENET201,V,K,25
DENSENET201,9,4,30
DENSENET201,L,I,54
DENSENET201,6,7,51
DENSENET201,D,I,21
MOBILENETV3LARGE,6,4,160
MOBILENETV3LARGE,7,B,33
MOBILENETV3LARGE,R,F,23
MOBILENETV3LARGE,R,D,70
MOBILENETV3LARGE,S,4,25
ConvNeXtBase,F,B,15
ConvNeXtBase,4,6,10
ConvNeXtBase,H,G,6
EFFICIENTNETV2S,W,V,42
DenseNet169,7,8,139
DenseNet169,G,H,191
DenseNet169,V,K,115
DenseNet169,3,7,122
DenseNet169,9,4,129
DenseNet169,6,4,319
DenseNet169,U,F,90
DenseNet169,D,R,98
DENSENET121,6,4,197
DENSENET121,U,F,90
DENSENET121,7,4,70
DENSENET121,G,H,81
DENSENET121,3,6,76
RESNET101,7,3,115
RESNET101,U,F,107
RESNET101,6,3,122
RESNET101,R,F,21
RESNET101,K,V,25
RESNET101,G,H,32
RESNET101,6,4,22
RESNET101,W,V,29
RESNET101,D,F,28
RESNET152,7,3,52
RESNET152,G,H,94
RESNET152,7,6,49
RESNET152,W,V,22
RESNET152,J,A,22
RESNET50,4,6,102
RESNET50,F,B,32
RESNET50,H,G,28
RESNET50,U,R,21
RESNET50,Z,P,30
RESNET50,W,V,56
ConvNeXtXLarge,F,B,28
ConvNeXtXLarge,K,V,32
ConvNeXtXLarge,K,L,22
